87051.0000	A49	H990	3000000
88189.0000	G722	A149	2500001
89856.0000	E488	F543	1750001
90201.0000	F541	A149	499999
93834.0000	G763	F543	1249999
115097.0000	F541	A32	2062501
115097.5000	F541	A32	125001
115741.0000	A89	A132	3000000
119292.5000	E488	F559	812498
119409.5000	E488	A112	125001
119521.0000	A89	A112	468750
119522.0000	A89	A112	218747
119531.5000	A112	A32	812498
122130.0000	E476	E442	2750001
123601.0000	G773	A36	3000000
124911.0000	G773	A34	3000000
132931.0000	G720	A47	3000000
172111.5000	A32	A79	625001
172163.0000	A32	A79	1000001
172220.5000	A32	A146	375001
172295.5000	A32	A146	1500001
172298.5000	A32	A146	750001
173615.0000	A32	A79	1500000
173617.5000	A32	A79	624998
175650.5000	A32	A146	374997

