Time	No_delegation	M2MShare	Delegation_to_all
0	0	0	1
1	0	1	3
2	0	2	4
3	0	2	5
4	0	2	6
5	0	3	6
6	0	3	6
7	0	3	6
8	0	3	6
9	0	3	7
10	0	4	9
11	0	5	10
12	0	5	11
13	0	6	11
14	0	6	11
15	0	6	11
16	0	6	11
17	0	6	11
18	0	6	12
19	0	6	12
20	0	6	12
21	0	6	12
22	0	7	13
23	0	8	15
24	0	9	16
25	0	10	17
26	0	10	16
27	0	10	17
28	0	10	17
29	0	10	17
30	0	10	17
31	0	11	19
32	0	11	21
33	0	11	21
34	0	11	20
35	0	11	20
36	0	11	20
37	0	11	20
38	0	11	20
39	0	11	20
40	0	11	20
41	0	11	20
42	0	11	20
43	0	11	20
44	0	11	20
45	0	11	20
46	0	11	20
47	0	11	19
48	0	10	18
49	0	8	16
50	0	7	15
51	0	7	14
52	0	6	13
53	0	6	13
54	0	6	13
55	0	6	13
56	0	6	12
57	0	5	12
58	0	4	10
59	0	4	9
60	0	3	8
61	0	3	8
62	0	3	8
63	0	3	8
64	0	3	7
65	0	3	7
66	0	3	7
67	0	3	7
68	0	3	7
69	0	3	7
70	0	2	6
71	0	1	5
72	0	1	5
73	0	1	5
74	0	1	5
75	0	1	4
76	0	1	4
77	0	1	4
78	0	1	4
79	0	1	4
80	0	1	4
81	0	1	4
82	0	1	4
83	0	1	4
84	0	1	4
85	0	1	4
86	0	1	4
87	0	1	4
88	0	1	4
89	0	1	4
90	0	1	4
91	0	1	4
92	0	1	4
93	0	1	4
94	0	1	4
95	0	1	4
96	0	1	4
97	0	1	4
98	0	1	4
99	0	1	4
100	0	1	4
101	0	1	4
102	0	1	4
103	0	1	4
104	0	1	3
105	0	1	3
106	0	1	3
107	0	1	3
108	0	1	3
109	0	1	3
110	0	1	3
111	0	1	3
112	0	1	3
113	0	1	3
114	0	1	3
115	0	1	3
116	0	1	3
117	0	1	3
118	0	1	3
119	0	1	3
120	0	1	3
121	0	1	3
122	0	1	3
123	0	1	3
124	0	0	3
125	0	0	2
126	0	0	2
127	0	0	1
128	0	0	0
129	0	0	0
130	0	0	0
131	0	0	0
132	0	0	0
133	0	0	0
134	0	0	0
135	0	0	0
136	0	0	0
137	0	0	0
138	0	0	0
139	0	0	0
140	0	0	0
141	0	0	0
142	0	0	0
143	0	0	0
144	0	0	0
145	0	0	0
146	0	0	0
147	0	0	0
148	0	0	0
149	0	0	0
150	0	0	0
151	0	0	0
152	0	0	0
153	0	0	0
154	0	0	0
155	0	0	0
156	0	0	0
157	0	0	0
158	0	0	0
159	0	0	0
160	0	0	0
161	0	0	0
162	0	0	0
163	0	0	0
164	0	0	0
165	0	0	0
166	0	0	0
167	0	0	0
