# time  from  to  bytesTrasferred
6466.0000 H938 H863 1750001
8773.0000 H898 H866 1000001
8853.5000 A104 G730 1125001
9900.5000 A104 G746 2875001
16241.0000 E508 G672 3000000
35800.5000 F536 F567 375001
36278.5000 E451 H965 2375001
37895.5000 A104 G730 1500001
37897.0000 A104 G730 374998
37991.0000 H938 H934 3000000
37991.0000 H938 H896 3000000
37991.0000 H938 H911 3000000
38274.0000 F528 H863 1249999
38661.0000 G717 G685 3000000
38959.5000 A104 G746 124999
39475.5000 G717 H866 1500001
39477.5000 G717 H866 499998
39550.0000 G730 A32 3000000

Total data trasferred (bytes): 32750002
