43826.5000	H887	G694	1875001
82749.0000	F611	A62	2493457
82751.5000	F611	A62	506543
87349.0000	H947	A32	22118
87349.5000	H947	A32	125001
87693.5000	E505	A13	1097652
87701.0000	E505	A13	1755229
88383.5000	E505	G795	1097652
88391.0000	E505	G795	1755229
88653.5000	E505	A22	1097652
88659.0000	E505	A22	1375001
91963.5000	H838	A73	1097652
91971.0000	H838	A73	1755229
92083.0000	H838	A64	1000001
97193.5000	G800	A33	1097652
97193.5000	G800	E425	1097652
97201.0000	G800	E425	1755229
97201.0000	G800	A33	1755229
97242.5000	A33	A32	1125001
97249.5000	E425	A32	2852881
97289.0000	G800	E456	2493457
97291.5000	G800	E456	506543
97586.0000	G800	A64	1696492
97587.5000	G800	A64	303507
97623.5000	G800	G761	1097652
97631.0000	G800	G761	1755229
98119.0000	G800	E500	2493457
98121.5000	G800	E500	506543
99239.0000	G800	G736	2493457
99240.5000	G800	G736	375001
99249.0000	G800	E449	2493457
99249.5000	G800	E449	125001
99299.5000	G800	E449	78035
99301.0000	G800	E449	303507
99309.0000	G800	G736	0
99310.0000	G800	G736	131542
99689.0000	A32	G718	2493457
99691.5000	A32	G718	506543
100049.0000	G800	G787	2493457
100051.5000	G800	G787	506543
100873.5000	G800	E436	1097652
100881.0000	G800	E436	1755229
113299.0000	F611	A121	2493457
113301.5000	F611	A121	506543
114200.0000	G807	A80	250001
115559.0000	G714	A119	2493457
115959.0000	F530	A142	2493457
115960.5000	F530	A142	375001
195940.0000	G800	A119	203036
195941.5000	G800	A119	303507
212550.5000	E442	A80	375001

