Time	M2MShare_1_hop_10	M2MShare_2_hop_10	M2MShare_3_hop_10	M2MShare_1_hop_25	M2MShare_2_hop_25	M2MShare_3_hop_25	M2MShare_1_hop_50	M2MShare_2_hop_50	M2MShare_3_hop_50	M2MShare_1_hop_75	M2MShare_2_hop_75	M2MShare_3_hop_75	M2MShare_1_hop_100	M2MShare_2_hop_100	M2MShare_3_hop_100
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
7	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
8	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
10	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
11	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
13	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
14	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
16	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
17	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
18	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
19	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
20	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
21	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
22	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
23	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
24	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
25	6	6	6	6	6	6	6	6	6	6	7	7	6	7	7
26	6	7	7	6	8	8	6	8	8	6	8	8	6	9	9
27	7	8	8	7	9	9	7	9	9	7	10	10	7	10	10
28	7	9	9	7	10	10	7	11	11	7	11	11	7	12	12
29	8	10	10	8	11	11	8	12	12	8	13	13	8	13	13
30	8	11	11	8	12	12	8	13	13	8	14	14	8	14	14
31	8	11	11	8	13	13	8	14	14	8	15	15	8	15	15
32	9	13	13	9	14	14	9	16	16	9	16	16	9	17	17
33	9	14	14	9	15	15	9	17	17	9	18	18	9	19	19
34	10	15	15	10	17	17	10	19	19	10	21	21	10	22	22
35	10	16	16	10	18	18	10	20	20	10	22	22	10	24	24
36	10	17	17	10	19	19	10	22	22	10	24	24	10	26	26
37	11	17	17	11	20	20	11	23	23	11	25	25	11	27	27
38	11	18	18	11	20	20	11	23	23	11	25	25	11	27	27
39	11	18	18	11	20	20	11	23	23	11	26	26	11	27	27
40	11	18	18	11	20	20	11	23	23	11	26	26	11	27	27
41	11	18	18	11	20	20	11	23	23	11	26	26	11	28	28
42	11	18	18	11	20	20	11	24	24	11	26	26	11	28	28
43	11	18	18	11	20	20	11	24	24	11	26	26	11	28	28
44	11	18	18	11	20	20	11	24	24	11	26	26	11	28	28
45	11	19	19	11	21	21	11	25	25	11	27	27	11	29	29
46	11	19	19	11	22	22	11	25	25	11	28	28	11	30	30
47	12	21	21	12	24	24	12	28	28	12	31	31	12	33	33
