# time  from  to  bytesTrasferred
7243.5000 G792 A32 1250001
7276.0000 G792 E471 1750001
8141.0000 G752 H992 500001
8141.0000 G752 H855 500001
8141.0000 G752 H949 500001
8262.5000 E449 E471 875001
8310.5000 A111 E471 374998
8673.0000 E449 F568 1000001
9904.0000 E444 H949 1249998
10160.0000 F604 H855 250001
12866.0000 A111 A86 1749999
37822.0000 G792 F568 749998
39359.5000 G792 H821 125001
39359.5000 G792 H967 125001
39735.5000 H1009 H967 1500001
39735.5000 H1009 H821 1500001
39736.0000 H1009 H821 124997
39736.0000 H1009 H967 124997
40715.0000 H1009 A32 1500001
40716.0000 H1009 H904 1749999
40716.0000 H1009 A32 249998

Total data trasferred (bytes): 17749997
