36641.0000	F646	F598	3000000
43981.0000	H846	F584	500001
44085.5000	C243	F584	1500001
44089.5000	C243	F584	999998
45846.0000	C293	F633	1750001
85851.0000	E498	G742	3000000
85894.5000	F530	G770	1375001
86040.0000	H900	E493	250001
86040.0000	H886	E493	250001
86229.0000	H886	E493	0
86235.0000	H900	E493	1500000
86237.5000	H886	E493	2125001
86239.5000	H900	E493	1125001
86245.5000	H886	E491	1500001
86249.0000	H886	E491	875001
86251.0000	H900	E491	3000000
86875.5000	G786	G770	1500001
86876.0000	G786	G770	124998
90651.0000	E498	A115	3000000
92770.5000	A96	F565	2875001
92842.5000	A96	A32	937501
92843.0000	A96	A32	125001
92871.0000	A96	A124	3000000
93480.5000	G778	E493	374997
93569.5000	F617	F565	124999
96417.0000	G786	H849	1937498
97377.0000	H871	A146	1937498
97486.0000	A146	A32	1937498

