7911.0000	D313	H1012	3000000
39731.0000	A78	A61	3000000
40031.0000	F542	G708	3000000
45095.5000	F559	A116	1625001
45599.5000	F542	A38	125001
48124.5000	F559	A116	1374999
50001.0000	A78	E509	3000000
88001.0000	F602	F642	3000000
92982.0000	A73	A38	750001
93965.5000	H850	A14	1625001
94032.0000	H850	A29	750001
94361.0000	G755	G800	3000000
94410.0000	G800	A32	3000000
94604.0000	H850	A115	1250001
94721.0000	A139	A82	3000000
94995.5000	A32	A115	1500001
94996.5000	A32	A115	249998
95571.0000	A79	A60	3000000
95585.0000	H874	F588	1500001
96006.0000	A32	E506	1750001
97405.5000	A78	A81	1625001
97969.5000	A139	A8	2625001
97990.5000	A139	A14	375001
98035.0000	E476	A38	1500000
98035.5000	E476	A38	125001
98121.0000	A32	A31	3000000
98141.0000	A139	A14	500001
98885.0000	A32	F588	1499999
99405.5000	G702	G794	1625001
99494.5000	G702	G794	1374999
100244.5000	A78	A81	1374999
101833.0000	A32	E506	1000001
101860.0000	A32	E506	249998
106529.0000	A73	A38	0
106531.0000	A73	A38	500001
107439.5000	A78	F569	2625001
114670.5000	A139	A8	374999
115627.0000	F602	A18	2000001
117083.0000	F626	A18	999999
120061.5000	G722	A29	625001
120135.0000	G722	A29	1499996
120137.0000	G722	A29	500001
120200.5000	G722	A29	374999
125931.0000	A32	A38	500001
128529.5000	A73	A14	125001
138251.0000	G749	G664	3000000
143460.5000	H985	A14	374996
166400.5000	H825	F569	374999
179089.5000	A73	A38	125001
180019.5000	A73	A38	124994

